"VendorNumber,VendorName_x,total_purchase_qty,total_purchase_cost,avg_unit_cost,total_freight,freight_ratio,VendorName_y,total_sales_qty,total_sales_revenue,avg_sales_price,gross_profit,sales_to_cost_ratio,gross_margin_pct"
"9819,TREASURY WINE ESTATES      ,75936,456103.45,6.139827471798275,3303.5,0.007242874396148505,TREASURY WINE ESTATES      ,49577.0,470450.63,10.274839292163236,14347.179999999993,1.0314559778050352,3.0496675070878303"
"10000,MAJESTIC FINE WINES        ,65078,507692.83999999997,8.213485201197207,3742.85,0.007372272573314211,MAJESTIC FINE WINES        ,45713.0,563623.71,13.652851821192053,55930.869999999995,1.1101667496433474,9.923441652232833"
"10050,Russian Standard Vodka     ,1927,18859.44,13.00651376146789,250.16,0.013264444755517663,Russian Standard Vodka     ,1567.0,13503.83,13.42973214285714,-5355.609999999999,0.7160249721094583,-39.659933515158286"
"10754,PERFECTA WINES             ,84725,871805.59,12.378002302820954,9145.97,0.010490836609570259,PERFECTA WINES             ,50951.0,797980.07,16.77089067817714,-73825.52000000002,0.9153188269875626,-9.251549352604762"
"11567,CAMPARI AMERICA            ,73623,599294.25,15.589351632749647,6268.85,0.010460387363970204,CAMPARI AMERICA            ,50198.0,572773.02,17.43146719384484,-26521.22999999998,0.9557458961102998,-4.630321099970802"
"12331,STELLAR IMPORTING CO LLC   ,429,3210.7200000000003,7.353,22.759999999999998,0.007088752678526934,STELLAR IMPORTING CO LLC   ,309.0,3413.41,11.576805555555556,202.6899999999996,1.0631291423730502,5.938050219575135"
"12546,JIM BEAM BRANDS COMPANY    ,407916,3623389.21,12.818403337576013,27754.05,0.0076596932847851585,JIM BEAM BRANDS COMPANY    ,262238.0,3181166.62,14.693910972624082,-442222.58999999985,0.8779533292257058,-13.901270911738658"
"17031,FLAG HILL WINERY & VINEYARD,2864,40269.02,15.105543071161048,161.03,0.0039988556960164415,FLAG HILL WINERY & VINEYARD,2015.0,40133.85,20.096180144641682,-135.16999999999825,0.9966433253155901,-0.3367979897268721"
"17032,JEWELL TOWNE VINEYARDS     ,1131,9213.55,8.139157894736842,33.61,0.003647888164713927,JEWELL TOWNE VINEYARDS     ,652.0,8751.98,13.524216335540839,-461.5699999999997,0.949903131800446,-5.273892307797775"
"17033,SEA BREEZE CELLARS LLC     ,1268,16259.61,14.143608247422682,232.83,0.014319531649283101,SEA BREEZE CELLARS LLC     ,685.0,14515.15,21.499859154929577,-1744.460000000001,0.8927120638194889,-12.01820167204611"
"17035,PERNOD RICARD USA          ,250148,3660629.74,18.602889998766802,25573.6,0.006986120371736912,PERNOD RICARD USA          ,160212.0,3218859.12,21.240502995978,-441770.6200000001,0.8793184092964288,-13.724447188605138"
"17037,Dunn Wine Brokers          ,1097,13974.35,14.000508474576272,43.769999999999996,0.0031321671490981686,Dunn Wine Brokers          ,378.0,7433.219999999999,20.435754716981133,-6541.130000000001,0.5319188370120971,-87.99860625677704"
"28750,SMOKY QUARTZ DISTILLERY LLC,417,9131.48,21.83783783783784,44.56,0.004879822328910538,SMOKY QUARTZ DISTILLERY LLC,263.0,7340.37,27.895940594059404,-1791.1099999999997,0.8038532636549607,-24.40081358296652"
"28776,TALL SHIP DISTILLERY LLC   ,304,6551.0,21.302,126.86,0.01936498244542818,TALL SHIP DISTILLERY LLC   ,165.0,4570.349999999999,27.702230215827335,-1980.6500000000005,0.6976568462830102,-43.336943560121234"
"90010,VINEXTRA INC               ,1408,16014.3,10.973455882352942,175.03,0.01092960666404401,VINEXTRA INC               ,804.0,14634.96,17.59526315789474,-1379.3400000000001,0.913868230269197,-9.424965971891965"
"90011,FORTUNE WINE BROKERS LLC   ,868,8022.400000000001,9.506666666666666,29.39,0.0036634922217790187,FORTUNE WINE BROKERS LLC   ,483.0,7349.17,15.836491228070175,-673.2300000000005,0.9160812225767849,-9.160626302017786"
"90017,THE IMPORTED GRAPE LLC     ,314,2534.15,7.858461538461539,18.55,0.007320008681411913,THE IMPORTED GRAPE LLC     ,172.0,2529.2799999999997,13.638214285714286,-4.870000000000346,0.998078251090109,-0.19254491396762502"
"90024,VINILANDIA USA             ,9336,85023.67,9.337179487179487,507.23,0.005965750478660825,VINILANDIA USA             ,5583.0,80063.47,14.692737940026076,-4960.199999999997,0.9416609515914803,-6.195334776271872"
"90027,POVERTY LANE ORCHARDS      ,941,7421.91,7.805890410958905,66.87,0.009009810143211115,POVERTY LANE ORCHARDS      ,658.0,7536.92,11.599498680738787,115.01000000000022,1.0154960111346,1.5259548993488086"
"90032,LABELLE VYDS AND WINERY    ,2035,23178.39,11.314675324675324,190.55,0.00822101966530031,LABELLE VYDS AND WINERY    ,1244.0,20187.56,16.27650442477876,-2990.829999999998,0.870964721881028,-14.815212933113253"
"90037,THE PIERPONT GROUP LLC     ,59,553.85,10.845714285714285,3.2199999999999998,0.005813848514940868,THE PIERPONT GROUP LLC     ,89.0,1395.11,17.86037037037037,841.2599999999999,2.518931118533899,60.30062145637262"
"90046,CANDIA VINEYARDS           ,377,5060.4,13.189117647058824,61.99,0.012250019761283695,CANDIA VINEYARDS           ,255.0,5372.45,20.668756476683935,312.0500000000002,1.0616650857639713,5.808336978473512"
